ID,ApplicationDate,AnnualIncome,EmploymentStatus,LoanDuration,NumberOfDependents,MonthlyDebtPayments,NumberOfOpenCreditLines,BankruptcyHistory,PreviousLoanDefaults,LengthOfCreditHistory,CheckingAccountBalance,TotalLiabilities,NetWorth,LoanApproved,Age,CreditScore,EducationLevel,LoanAmount,MaritalStatus,HomeOwnershipStatus,CreditCardUtilizationRate,NumberOfCreditInquiries,LoanPurpose,PaymentHistory,SavingsAccountBalance,TotalAssets,JobTenure,InterestRate,RiskScore,Experience,MonthlyIncome,MonthlyLoanPayment,TotalDebtToIncomeRatio
A001,2018-01-01,39948,Employed,48,2,183,1,0,0,9,1202,19183,126928,0,45,617,Master,13152,Married,Own,35.4,2,Home,29,7632,146111,11,22.75,49.0,22.0,3329.0,419.74,18.11
A002,2018-01-02,39709,Employed,48,1,496,5,0,0,9,3460,9595,43609,0,38,628,Associate,26045,Single,Mortgage,8.78,3,Debt Consolidation,21,4627,53204,3,20.1,51.0,15.0,3309.08,793.95,38.98
A003,2018-01-03,40724,Employed,36,2,902,2,0,0,22,895,128874,5205,0,47,570,Bachelor,17627,Married,Rent,13.7,0,Education,20,886,25176,6,21.25,51.0,26.0,3393.67,666.36,46.21
A004,2018-01-04,69084,Employed,96,1,755,2,0,0,10,1217,5370,99452,0,58,545,High School,37898,Single,Mortgage,2.67,1,Home,27,1675,104822,5,30.09,54.0,34.0,5757.0,1047.48,31.31
A005,2018-01-05,103264,Employed,36,1,274,0,0,0,27,4981,17286,227019,1,37,594,Associate,9184,Married,Mortgage,3.2,0,Debt Consolidation,26,1555,244305,5,17.59,36.0,17.0,8605.33,330.14,7.02
A006,2018-01-06,178310,Self-Employed,72,0,732,5,0,1,19,1223,40843,27071,1,37,626,Master,15433,Married,Rent,10.2,1,Debt Consolidation,16,2118,67914,5,21.76,44.0,16.0,14859.17,385.58,7.52
A007,2018-01-07,51250,Employed,48,0,337,6,0,0,18,1735,43894,21730,0,58,564,High School,12741,Married,Rent,3.67,1,Other,21,5161,65624,5,20.52,50.0,39.0,4270.83,391.25,17.05
A008,2018-01-08,97345,Employed,12,5,288,5,0,0,11,74,11556,38621,1,49,516,High School,19634,Divorced,Mortgage,20.9,0,Other,19,781,50177,5,20.91,42.0,23.0,8112.08,1827.35,26.08
A009,2018-01-09,116841,Employed,60,5,638,3,1,0,29,708,49940,7711,0,34,603,Bachelor,55353,Divorced,Own,1.92,0,Debt Consolidation,25,1157,29632,3,29.15,61.0,12.0,9736.75,1762.07,24.65
A010,2018-01-10,40615,Employed,12,4,704,3,0,0,10,446,12852,116812,0,46,612,Associate,25443,Married,Other,5.12,2,Other,23,1028,129664,3,19.72,53.0,19.0,3384.58,2353.49,90.34
A011,2018-01-11,73646,Employed,84,3,267,4,0,0,7,3875,20315,128651,0,34,478,Associate,48716,Single,Own,21.1,1,Auto,25,9266,148966,4,33.35,47.0,10.0,6137.17,1504.32,28.86
A012,2018-01-12,15000,Employed,24,2,295,5,0,0,28,348,3353,29709,0,34,591,Bachelor,30088,Married,Mortgage,3.12,1,Home,21,259,33062,3,18.24,56.0,11.0,1250.0,1505.61,144.05
A013,2018-01-13,74453,Employed,60,1,258,6,0,0,7,1633,35493,5231,0,42,573,Bachelor,16154,Married,Rent,527.0,0,Debt Consolidation,26,781,16204,5,25.56,56.0,21.0,6204.42,479.46,11.89
A014,2018-01-14,100508,Employed,60,1,247,5,0,1,3,916,99030,82783,0,18,580,Associate,20439,Married,Rent,16.8,2,Other,20,2027,181813,6,24.53,63.0,0.0,8375.67,594.29,10.04
A015,2018-01-15,47624,Employed,36,1,196,2,0,0,21,576,9418,35918,0,19,597,Bachelor,27197,Married,Mortgage,11.4,1,Debt Consolidation,15,2971,45336,3,20.22,58.0,0.0,3968.67,1013.79,30.48
A016,2018-01-16,56650,Employed,36,1,336,4,0,0,15,131,11144,250291,1,33,605,Doctorate,12652,Single,Mortgage,4.23,0,Auto,21,242,261435,2,21.64,33.0,11.0,4720.83,480.83,17.3
A017,2018-01-17,50042,Employed,60,1,680,6,0,0,14,1219,89196,7021,0,27,582,Doctorate,19105,Single,Rent,10.3,3,Debt Consolidation,36,2214,11162,5,18.71,53.0,7.0,4170.17,492.55,28.12
A018,2018-01-18,142326,Employed,96,2,772,1,0,0,2,856,4213,69623,1,43,644,Bachelor,13499,Widowed,Mortgage,22.2,2,Other,18,13247,73836,5,22.37,39.0,24.0,11860.5,303.11,9.06
A019,2018-01-19,16021,Employed,72,0,286,5,0,1,12,1127,25345,3933,0,29,553,High School,14655,Single,Rent,5.56,1,Debt Consolidation,25,8651,29278,4,23.47,59.0,8.0,1335.08,381.12,49.97
A020,2018-01-20,34698,Employed,60,3,755,5,0,0,29,2098,72605,55430,0,23,594,Associate,14314,Widowed,Mortgage,18.7,0,Debt Consolidation,27,3721,128035,5,23.14,48.0,0.0,2891.5,404.67,40.11
A021,2018-01-21,106749,Employed,48,0,1059,0,0,0,14,4304,8152,204416,1,57,630,Master,15698,Single,Rent,13.2,1,Auto,21,1686,212568,4,20.44,32.0,30.0,8895.75,481.38,17.32
A022,2018-01-22,59138,Employed,72,0,564,2,0,0,9,5192,18681,5576,0,37,594,Associate,13205,Married,Own,3.93,1,Auto,18,1187,24257,4,21.14,51.0,14.0,4928.17,325.08,18.04
A023,2018-01-23,114216,Employed,60,3,571,3,0,0,2,2127,27250,2482,1,40,635,Doctorate,9809,Single,Rent,22.4,1,Home,26,720,23984,10,20.11,46.0,17.0,9518.0,260.48,8.74
A024,2018-01-24,63300,Employed,24,2,376,3,0,0,7,1735,53225,6903,0,22,503,Associate,16476,Married,Rent,3.89,1,Home,29,2154,14710,5,23.16,53.0,0.0,5275.0,864.21,23.51
A025,2018-01-25,39676,Employed,60,1,199,2,0,0,4,1085,76577,81172,0,33,555,Master,47795,Single,Other,3.46,1,Home,19,840,157749,4,25.34,60.0,12.0,3306.33,1412.39,48.74
A026,2018-01-26,59192,Unemployed,36,4,222,4,0,0,1,3449,9196,58413,0,41,594,High School,45608,Divorced,Mortgage,4.09,0,Auto,18,21084,67609,3,20.06,58.0,16.0,4932.67,1696.35,38.89
A027,2018-01-27,15059,Employed,24,3,443,2,0,0,25,7335,13107,16754,0,26,462,Associate,20240,Single,Other,9.88,0,Home,16,713,29861,12,24.6,51.0,0.0,1254.92,1076.18,121.06
A028,2018-01-28,15305,Self-Employed,48,4,443,1,0,0,29,979,7005,9931,0,44,608,Bachelor,21452,Single,Mortgage,11.1,1,Home,21,9547,16936,2,22.53,51.0,23.0,1275.42,682.06,88.21
A029,2018-01-29,35498,Employed,36,0,698,2,0,0,17,205,31484,2705,0,32,622,Master,11136,Married,Own,3.9,0,Home,18,1346,34189,3,16.48,48.0,10.0,2958.17,394.15,36.92
A030,2018-01-30,60227,Employed,84,3,458,3,0,0,28,1993,35773,105395,1,36,576,Bachelor,25264,Divorced,Own,2.78,1,Home,27,5391,141168,5,23.91,36.0,14.0,5018.92,621.97,21.52
A031,2018-01-31,23861,Self-Employed,36,0,521,2,0,0,27,1072,8627,76539,0,32,592,High School,19570,Married,Other,2.32,3,Auto,29,3348,85166,8,19.7,55.0,10.0,1988.42,724.3,62.63
A032,2018-02-01,73843,Unemployed,60,1,388,7,1,0,3,3352,90622,3068,0,62,667,Master,44668,Single,Other,29.5,2,Home,16,17023,56887,5,23.46,62.0,37.0,6153.58,1271.05,26.96
A033,2018-02-02,61099,Employed,84,0,380,1,0,0,19,1795,23540,46283,0,39,559,Bachelor,10094,Married,Mortgage,1.28,0,Auto,21,2987,69823,4,26.1,51.0,19.0,5091.58,262.64,12.62
A034,2018-02-03,15000,Employed,120,2,721,2,0,0,18,3835,13680,290269,0,27,535,High School,11318,Single,Mortgage,5.82,3,Home,15,4172,303949,1,34.35,53.0,4.0,1250.0,335.32,84.51
A035,2018-02-04,34738,Employed,72,2,388,3,0,0,4,2757,10972,238326,0,49,520,Associate,10166,Single,Mortgage,5.66,3,Home,27,1767,249298,2,27.39,55.0,25.0,2894.83,288.94,23.38
A036,2018-02-05,85889,Employed,72,2,870,4,0,0,10,1110,5554,13345,0,25,571,Bachelor,24186,Married,Rent,33.1,0,Education,31,14921,18899,4,27.96,49.0,3.0,7157.42,696.11,21.88
A037,2018-02-06,78701,Employed,60,1,482,6,0,0,19,1585,30154,140566,1,42,552,Associate,18326,Married,Rent,1.88,1,Home,25,463,170720,7,21.89,36.0,18.0,6558.42,505.0,15.05
A038,2018-02-07,24914,Employed,36,4,327,1,0,0,28,199,8146,41853,1,18,604,Master,8015,Married,Mortgage,3.76,4,Auto,17,2612,49999,7,15.28,45.0,0.0,2076.17,278.94,29.19
A039,2018-02-08,57231,Unemployed,48,4,370,3,0,0,21,242,73682,140547,0,24,508,Associate,35876,Married,Rent,572.0,0,Auto,20,7737,214229,8,23.04,50.0,0.0,4769.25,1150.66,31.88
A040,2018-02-09,163303,Self-Employed,72,2,337,3,0,0,1,309,17900,97422,1,42,655,Bachelor,12850,Single,Other,35.7,0,Debt Consolidation,19,3012,115322,8,18.95,37.0,23.0,13608.58,300.02,4.68
A041,2018-02-10,38453,Unemployed,48,0,560,0,0,0,20,1539,3481,42871,0,48,595,High School,30517,Divorced,Own,3.82,0,Home,22,5165,46352,6,22.62,54.0,26.0,3204.42,971.77,47.8
A042,2018-02-11,99920,Self-Employed,12,3,298,3,0,0,11,288,23569,4209,1,42,582,Bachelor,23363,Single,Other,615.0,2,Debt Consolidation,20,991,27778,10,17.54,44.0,20.0,8326.67,2136.81,29.24
A043,2018-02-12,57860,Employed,96,4,159,3,0,0,1,427,25653,437436,0,38,591,High School,25576,Married,Rent,14.4,0,Auto,27,2059,463089,8,28.76,47.0,20.0,4821.67,683.31,17.47
A044,2018-02-13,30890,Employed,24,2,289,3,0,0,6,249,28334,14676,0,36,590,High School,10176,Divorced,Own,2.13,1,Education,23,11162,43010,7,17.65,53.0,16.0,2574.17,506.31,30.9
A045,2018-02-14,15561,Employed,36,2,346,6,0,0,13,1463,5913,11052,0,22,500,High School,20169,Single,Rent,10.4,0,Debt Consolidation,25,1929,16965,4,24.23,55.0,1.0,1296.75,793.73,87.89
A046,2018-02-15,105957,Employed,72,0,399,0,0,0,16,208,69541,95758,0,31,530,High School,53987,Single,Other,46.4,0,Auto,31,4218,165299,3,32.67,54.0,7.0,8829.75,1718.2,23.98
A047,2018-02-16,82887,Employed,84,2,471,2,0,0,8,1246,117394,4958,0,34,545,High School,20996,Divorced,Other,37.4,0,Other,19,16502,17748,2,27.95,50.0,13.0,6907.25,571.67,15.1
A048,2018-02-17,53555,Employed,60,1,221,0,0,0,20,1607,27582,2753,0,52,631,Associate,29418,Divorced,Own,2.57,1,Education,28,9902,12300,4,21.76,47.0,31.0,4462.92,808.48,23.07
A049,2018-02-18,105639,Employed,108,0,387,1,0,0,21,5476,22300,142935,0,44,627,High School,20409,Widowed,Rent,28.2,4,Home,22,3379,165235,5,26.37,46.0,20.0,8803.25,495.89,10.03
A050,2018-02-19,58342,Employed,24,3,592,3,0,0,7,230,15562,9558,0,18,519,High School,10077,Single,Mortgage,1.59,0,Debt Consolidation,20,5076,25120,8,26.06,50.0,0.0,4861.83,543.2,23.35
A051,2018-02-20,121939,Employed,48,0,220,2,0,0,12,4000,2457,185710,1,43,653,Doctorate,41215,Divorced,Mortgage,5.32,1,Other,30,1365,188167,8,18.46,32.0,25.0,10161.58,1220.62,14.18
A052,2018-02-21,16054,Employed,36,1,465,1,0,0,21,665,11870,39270,0,35,526,Associate,20612,Married,Own,14.4,2,Education,25,4127,51140,6,23.16,53.0,13.0,1337.83,799.6,94.53
A053,2018-02-22,36057,Employed,36,3,384,4,0,0,12,438,56982,1500,0,31,592,Associate,29501,Married,Other,231.0,0,Home,18,2220,19637,4,21.42,51.0,11.0,3004.75,1117.82,49.98
A054,2018-02-23,124086,Employed,24,3,713,6,0,0,24,1704,21593,10479,1,47,631,High School,36798,Widowed,Mortgage,22.4,1,Auto,27,3281,32072,6,16.76,39.0,27.0,10340.5,1815.14,24.45
A055,2018-02-24,272693,Employed,84,0,278,2,0,0,13,1835,5443,88895,1,52,586,Bachelor,19717,Married,Rent,3.72,2,Auto,19,801,94338,8,21.81,38.0,28.0,22724.42,459.58,3.25
A056,2018-02-25,48757,Employed,84,3,817,1,0,0,19,266,97462,3120,0,51,615,Bachelor,16173,Divorced,Mortgage,21.0,0,Debt Consolidation,28,21739,39354,2,22.13,51.0,27.0,4063.08,380.17,29.46
A057,2018-02-26,31683,Employed,24,2,183,4,0,0,12,2581,123883,154938,0,29,498,Associate,10566,Married,Other,44.3,2,Debt Consolidation,22,30896,278821,5,20.94,48.0,5.0,2640.25,542.63,27.48
A058,2018-02-27,69003,Self-Employed,96,4,458,6,0,0,11,1153,23994,13502,1,36,499,Associate,5376,Single,Mortgage,3.67,2,Auto,28,983,37496,3,24.84,42.0,11.0,5750.25,129.38,10.21
A059,2018-02-28,72408,Employed,48,0,803,1,1,0,29,305,33442,5786,0,43,616,Bachelor,23181,Married,Rent,23.4,2,Debt Consolidation,22,3815,22524,4,25.22,63.0,18.0,6034.0,771.46,26.09
A060,2018-03-01,105087,Employed,108,1,772,5,0,1,24,2121,59261,142052,0,51,653,Master,48331,Single,Mortgage,11.6,1,Auto,22,21204,201313,4,27.37,44.0,33.0,8757.25,1208.11,22.61
A061,2018-03-02,15000,Employed,96,1,468,1,0,0,22,2085,11163,223211,0,34,607,Master,26412,Married,Own,3.12,2,Home,18,2232,234374,6,27.64,48.0,11.0,1250.0,685.36,92.27
A062,2018-03-03,38513,Self-Employed,48,2,373,2,0,0,29,340,28653,16183,0,37,600,High School,21225,Divorced,Rent,5.18,0,Education,22,1458,44836,4,23.11,51.0,16.0,3209.42,681.57,32.86
A063,2018-03-04,77555,Employed,36,0,499,6,0,0,22,691,9580,29447,1,26,527,Bachelor,22854,Married,Rent,954.0,1,Education,19,8710,39027,5,19.99,39.0,5.0,6462.92,849.22,20.86
A064,2018-03-05,15000,Employed,48,0,528,6,0,0,3,1111,274582,1077,0,25,576,High School,18177,Single,Mortgage,2.73,1,Home,25,5689,99036,3,21.98,57.0,1.0,1250.0,572.49,88.04
A065,2018-03-06,24973,Employed,48,3,336,1,0,0,12,1547,30121,14823,0,49,611,Bachelor,17466,Married,Own,2.8,0,Auto,23,3167,44944,9,22.14,55.0,30.0,2081.08,551.61,42.65
A066,2018-03-07,18248,Employed,24,0,733,2,0,0,20,548,11483,192648,0,56,574,Associate,16443,Divorced,Own,2.83,1,Home,23,2682,204131,2,17.36,48.0,37.0,1520.67,815.83,101.85
A067,2018-03-08,67367,Self-Employed,48,1,317,4,0,0,24,5430,16012,99087,1,39,615,Associate,26889,Married,Mortgage,796.0,0,Debt Consolidation,29,8241,115099,4,17.15,42.0,15.0,5613.92,777.97,19.5
A068,2018-03-09,32418,Employed,12,2,447,1,0,0,3,533,12696,313319,0,52,647,Bachelor,32208,Married,Rent,4.13,0,Auto,26,2926,326015,3,15.07,50.0,29.0,2701.5,2908.1,124.19
A069,2018-03-10,26879,Employed,60,1,562,3,0,0,29,3740,23485,71090,0,44,649,Bachelor,20313,Married,Rent,4.33,2,Home,22,4029,94575,5,19.89,50.0,21.0,2239.92,536.93,49.06
