ID,ApplicationDate_ds1,AnnualIncome,EmploymentStatus,Experience_ds1,LoanDuration,NumberOfDependents,MonthlyDebtPayments,NumberOfOpenCreditLines,BankruptcyHistory,PreviousLoanDefaults,LengthOfCreditHistory,CheckingAccountBalance,TotalLiabilities,NetWorth,LoanApproved,ApplicationDate_ds2,Age,CreditScore,EducationLevel,Experience_ds2,LoanAmount,MaritalStatus,HomeOwnershipStatus,CreditCardUtilizationRate,NumberOfCreditInquiries,LoanPurpose,PaymentHistory,SavingsAccountBalance,TotalAssets,JobTenure,InterestRate,RiskScore
A001,01-01-2018,39948,Employed,22,48,2,183,1,0,0,9,1202,19183,126928,0,01-01-2018,45,617,Master,22.0,13152,Married,Own,35.4,2,Home,29,7632,146111,11,22.75,49
A002,02-01-2018,39709,Employed,15,48,1,496,5,0,0,9,3460,9595,43609,0,02-01-2018,38,628,Associate,,26045,Single,Mortgage,8.78,3,Debt Consolidation,21,4627,53204,3,20.1,XX
A003,03-01-2018,40724,Employed,26,36,2,902,2,0,0,22,895,128874,5205,0,03-01-2018,47,570,Bachelor,26.0,17627,Married,Rent,13.7,0,Education,20,886,25176,6,21.25,XX
A004,04-01-2018,69084,Employed,34,96,1,755,2,0,0,10,1217,5370,99452,0,04-01-2018,58,545,High School,34.0,37898,Single,Mortgage,2.67,1,Home,27,1675,104822,5,30.09,54
A005,05-01-2018,103264,Employed,17,36,1,274,0,0,0,27,4981,17286,227019,1,05-01-2018,37,594,Associate,17.0,9184,Married,Mortgage,3.2,0,Debt Consolidation,26,1555,244305,5,17.59,36
A006,06-01-2018,178310,Self-Employed,16,72,0,732,5,0,1,19,1223,40843,27071,1,06-01-2018,37,626,Master,16.0,15433,Married,Rent,10.2,1,Debt Consolidation,16,2118,67914,5,21.76,44
A007,07-01-2018,51250,Employed,39,48,0,337,6,0,0,18,1735,43894,21730,0,07-01-2018,58,564,High School,39.0,12741,Married,Rent,3.67,1,Other,21,5161,65624,5,20.52,50
A008,08-01-2018,97345,Employed,23,12,5,288,5,0,0,11,74,11556,38621,1,08-01-2018,49,516,High School,23.0,19634,Divorced,Mortgage,20.9,0,Other,19,781,50177,5,20.91,42
A009,09-01-2018,116841,Employed,12,60,5,638,3,1,0,29,708,49940,7711,0,09-01-2018,34,603,Bachelor,12.0,55353,Divorced,Own,1.92,0,Debt Consolidation,25,1157,29632,3,29.15,61
A010,10-01-2018,40615,Employed,19,12,4,704,3,0,0,10,446,12852,116812,0,10-01-2018,46,612,Associate,19.0,25443,Married,Other,5.12,2,Other,23,1028,129664,3,19.72,53
A011,11-01-2018,73646,Employed,10,84,3,267,4,0,0,7,3875,20315,128651,0,11-01-2018,34,478,Associate,10.0,48716,Single,Own,21.1,1,Auto,25,9266,148966,4,33.35,47
A012,12-01-2018,15000,Employed,11,24,2,295,5,0,0,28,348,3353,29709,0,12-01-2018,34,591,Bachelor,11.0,30088,Married,Mortgage,3.12,1,Home,21,259,33062,3,18.24,56
A013,13-01-2018,74453,Employed,21,60,1,258,6,0,0,7,1633,35493,5231,0,13-01-2018,42,573,Bachelor,21.0,16154,Married,Rent,527.0,0,Debt Consolidation,26,781,16204,5,25.56,56
A014,14-01-2018,100508,Employed,0,60,1,247,5,0,1,3,916,99030,82783,0,14-01-2018,18,580,Associate,0.0,20439,Married,Rent,16.8,2,Other,20,2027,181813,6,24.53,63
A015,15-01-2018,47624,Employed,0,36,1,196,2,0,0,21,576,9418,35918,0,15-01-2018,19,597,Bachelor,0.0,27197,Married,Mortgage,11.4,1,Debt Consolidation,15,2971,45336,3,20.22,58
A016,16-01-2018,56650,Employed,11,36,1,336,4,0,0,15,131,11144,250291,1,16-01-2018,33,605,Doctorate,11.0,12652,Single,Mortgage,4.23,0,Auto,21,242,261435,2,21.64,33
A017,17-01-2018,50042,Employed,7,60,1,680,6,0,0,14,1219,89196,7021,0,17-01-2018,27,582,Doctorate,7.0,19105,Single,Rent,10.3,3,Debt Consolidation,36,2214,11162,5,18.71,53
A018,18-01-2018,142326,Employed,24,96,2,772,1,0,0,2,856,4213,69623,1,18-01-2018,43,644,Bachelor,24.0,13499,Widowed,Mortgage,22.2,2,Other,18,13247,73836,5,22.37,39
A019,19-01-2018,16021,Employed,8,72,0,286,5,0,1,12,1127,25345,3933,0,19-01-2018,29,553,High School,8.0,14655,Single,Rent,5.56,1,Debt Consolidation,25,8651,29278,4,23.47,59
A020,20-01-2018,34698,Employed,0,60,3,755,5,0,0,29,2098,72605,55430,0,20-01-2018,23,594,Associate,0.0,14314,Widowed,Mortgage,18.7,0,Debt Consolidation,27,3721,128035,5,23.14,48
A021,21-01-2018,106749,Employed,30,48,0,1059,0,0,0,14,4304,8152,204416,1,21-01-2018,57,630,Master,30.0,15698,Single,Rent,13.2,1,Auto,21,1686,212568,4,20.44,32
A022,22-01-2018,59138,Employed,14,72,0,564,2,0,0,9,5192,18681,5576,0,22-01-2018,37,594,Associate,14.0,13205,,Own,3.93,1,Auto,18,1187,24257,4,21.14,51
A023,23-01-2018,114216,Employed,17,60,3,571,3,0,0,2,2127,27250,2482,1,23-01-2018,40,635,Doctorate,17.0,9809,Single,Rent,22.4,1,Home,26,720,23984,10,20.11,46
A024,24-01-2018,63300,Employed,0,24,2,376,3,0,0,7,1735,53225,6903,0,24-01-2018,22,503,Associate,0.0,16476,Married,Rent,3.89,1,Home,29,2154,14710,5,23.16,53
A025,25-01-2018,39676,Employed,12,60,1,199,2,0,0,4,1085,76577,81172,0,25-01-2018,33,555,Master,12.0,47795,Single,Other,3.46,1,Home,19,840,157749,4,25.34,60
A026,26-01-2018,59192,Unemployed,16,36,4,222,4,0,0,1,3449,9196,58413,0,26-01-2018,41,594,High School,16.0,45608,Divorced,Mortgage,4.09,0,Auto,18,21084,67609,3,20.06,58
A027,27-01-2018,15059,Employed,0,24,3,443,2,0,0,25,7335,13107,16754,0,27-01-2018,26,462,Associate,0.0,20240,Single,Other,9.88,0,Home,16,713,29861,12,24.6,51
A028,28-01-2018,15305,Self-Employed,23,48,4,443,1,0,0,29,979,7005,9931,0,28-01-2018,44,608,Bachelor,23.0,21452,Single,Mortgage,11.1,1,Home,21,9547,16936,2,22.53,51
A029,29-01-2018,35498,Employed,10,36,0,698,2,0,0,17,205,31484,2705,0,29-01-2018,32,622,Master,10.0,11136,Married,Own,3.9,0,Home,18,1346,34189,3,16.48,48
A030,30-01-2018,60227,Employed,14,84,3,458,3,0,0,28,1993,35773,105395,1,30-01-2018,36,576,Bachelor,14.0,25264,Divorced,Own,2.78,1,Home,27,5391,141168,5,23.91,36
A031,31-01-2018,23861,Self-Employed,10,36,0,521,2,0,0,27,1072,8627,76539,0,31-01-2018,32,592,High School,10.0,19570,Married,Other,2.32,3,Auto,29,3348,85166,8,19.7,55
A032,01-02-2018,73843,Unemployed,37,60,1,388,7,1,0,3,3352,90622,3068,0,01-02-2018,62,667,Master,37.0,44668,Single,Other,29.5,2,Home,16,17023,56887,5,23.46,62
